Message Number;Time [ms];ID;DLC;Data Bytes;CANopen;Node;Index;Subindex;Interpretation
1;34,500;0x0701;1;[0x05];ERR_CTRL;1;-;-;Heartbeat: Operational
2;72,100;0x010a;8;[0xab 0x02 0x22 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
3;121,900;0x010a;8;[0x06 0xc5 0x22 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
4;172,300;0x010a;8;[0xc2 0x89 0x23 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
5;222,700;0x010a;8;[0xce 0x4e 0x24 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
6;234,700;0x070a;1;;ERR_CTRL;10;-;-;Node-Guarding Request (RTR)
7;236,300;0x070a;1;[0x85];ERR_CTRL;10;-;-;Heartbeat: Operational
8;272,900;0x010a;8;[0xe4 0x12 0x25 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
9;299,400;0x018f;8;[0x00 0x00 0x00 0xf2 0xd8 0x86 0x00 0x00];PDO1_T;15;-;-;Transmit PDO1
10;307,400;0x028f;8;[0x00 0x00 0x70 0x08 0x00 0x38 0x00 0x00];PDO2_T;15;-;-;Transmit PDO2
11;318,800;0x038f;2;[0x01 0x00];PDO3_T;15;-;-;Transmit PDO3
12;323,500;0x010a;8;[0x96 0xd8 0x25 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
13;374,200;0x010a;8;[0x6c 0x9e 0x26 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
14;424,000;0x010a;8;[0xf0 0x60 0x27 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
15;474,700;0x010a;8;[0x00 0x27 0x28 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
16;525,300;0x010a;8;[0xf6 0xec 0x28 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
17;576,000;0x010a;8;[0xf8 0xb2 0x29 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
18;626,600;0x010a;8;[0x76 0x78 0x2a 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
19;677,300;0x010a;8;[0x90 0x3e 0x2b 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
20;728,000;0x010a;8;[0xb3 0x04 0x2c 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
21;778,200;0x010a;8;[0xce 0xc8 0x2c 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
22;816,300;0x0100;8;[0x1e 0xa1 0x03 0x00 0x00 0x00 0x00 0x00];TIME;-;-;-;TIME ms:8478 (1984-01-01T00:00:08.478000)
23;828,800;0x010a;8;[0x91 0x8e 0x2d 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
24;838,700;0x070f;1;[0x05];ERR_CTRL;15;-;-;Heartbeat: Operational
25;878,600;0x010a;8;[0x02 0x51 0x2e 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
26;929,300;0x010a;8;[0x04 0x17 0x2f 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
27;979,500;0x010a;8;[0xfc 0xda 0x2f 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
28;1030,200;0x010a;8;[0x0b 0xa1 0x30 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
29;1036,000;0x0701;1;[0x05];ERR_CTRL;1;-;-;Heartbeat: Operational (1001.5 ms)
30;1080,500;0x010a;8;[0xb7 0x65 0x31 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
31;1130,900;0x010a;8;[0x93 0x2a 0x32 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
32;1181,600;0x010a;8;[0x7b 0xf0 0x32 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
33;1231,400;0x010a;8;[0x51 0xb3 0x33 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
34;1246,200;0x071e;1;[0x05];ERR_CTRL;30;-;-;Heartbeat: Operational
35;1282,200;0x010a;8;[0x95 0x79 0x34 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
36;1299,300;0x018f;8;[0x00 0x00 0x00 0xf2 0xd8 0x85 0x00 0x00];PDO1_T;15;-;-;Transmit PDO1
37;1306,800;0x038f;2;[0x01 0x00];PDO3_T;15;-;-;Transmit PDO3
38;1319,300;0x028f;8;[0x00 0x00 0x70 0x08 0x00 0x38 0x00 0x00];PDO2_T;15;-;-;Transmit PDO2
39;1333,100;0x010a;8;[0x5c 0x40 0x35 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
40;1383,000;0x010a;8;[0x34 0x03 0x36 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
41;1432,900;0x010a;8;[0x55 0xc6 0x36 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
42;1436,600;0x070a;1;;ERR_CTRL;10;-;-;Node-Guarding Request (RTR)
43;1437,800;0x070a;1;[0x05];ERR_CTRL;10;-;-;Heartbeat: Operational (1201.5 ms)
44;1483,100;0x010a;8;[0x37 0x8a 0x37 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
45;1533,500;0x010a;8;[0x30 0x4f 0x38 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
46;1583,300;0x010a;8;[0xae 0x11 0x39 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
47;1634,200;0x010a;8;[0x54 0xd8 0x39 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
48;1684,800;0x010a;8;[0x07 0x9e 0x3a 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
49;1735,000;0x010a;8;[0x40 0x62 0x3b 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
50;1784,900;0x010a;8;[0x1e 0x25 0x3c 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
51;1816,400;0x0100;8;[0x06 0xa5 0x03 0x00 0x00 0x00 0x00 0x00];TIME;-;-;-;TIME ms:9478 (1984-01-01T00:00:09.478000)
52;1834,800;0x010a;8;[0x27 0xe8 0x3c 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
53;1884,900;0x010a;8;[0xbe 0xab 0x3d 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
54;1935,400;0x010a;8;[0x39 0x71 0x3e 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
55;1986,100;0x010a;8;[0x09 0x37 0x3f 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
56;2036,100;0x010a;8;[0x78 0xfa 0x3f 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
57;2037,800;0x0701;1;[0x05];ERR_CTRL;1;-;-;Heartbeat: Operational (1001.8 ms)
58;2060,700;0x0000;2;[0x81 0x20];NMT;32;-;-;NMT Reset
59;2085,800;0x010a;8;[0xd2 0xbc 0x40 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
60;2111,900;0x060a;8;[0x40 0x20 0x26 0x05 0x00 0x00 0x00 0x00];SDO_R;10;0x2620;5;client: initiate upload request
61;2114,800;0x058a;8;[0x4b 0x20 0x26 0x05 0x03 0x00 0x00 0x00];SDO_T;10;0x2620;5;server: upload response = [0x03 0x00] = [\x03\x00]
62;2136,300;0x010a;8;[0xeb 0x81 0x41 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
63;2187,100;0x010a;8;[0x64 0x48 0x42 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
64;2237,200;0x010a;8;[0xea 0x0b 0x43 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
65;2238,700;0x070f;1;[0x05];ERR_CTRL;15;-;-;Heartbeat: Operational (1400.0 ms)
66;2287,300;0x010a;8;[0xe7 0xcf 0x43 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
67;2299,400;0x018f;8;[0x00 0x00 0x00 0xf2 0xd8 0x85 0x00 0x00];PDO1_T;15;-;-;Transmit PDO1
68;2307,400;0x028f;8;[0x00 0x00 0x70 0x08 0x00 0x38 0x00 0x00];PDO2_T;15;-;-;Transmit PDO2
69;2318,800;0x038f;2;[0x01 0x00];PDO3_T;15;-;-;Transmit PDO3
70;2337,400;0x010a;8;[0x53 0x93 0x44 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
71;2387,600;0x010a;8;[0x5b 0x57 0x45 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
72;2437,900;0x010a;8;[0xd6 0x1b 0x46 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
73;2460,500;0x0000;2;[0x81 0x21];NMT;33;-;-;NMT Reset
74;2487,900;0x010a;8;[0x6d 0xdf 0x46 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
75;2538,500;0x010a;8;[0x0d 0xa5 0x47 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
76;2588,700;0x010a;8;[0x12 0x69 0x48 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
77;2639,300;0x010a;8;[0xed 0x2e 0x49 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
78;2639,800;0x070a;1;;ERR_CTRL;10;-;-;Node-Guarding Request (RTR)
79;2643,900;0x070a;1;[0x85];ERR_CTRL;10;-;-;Heartbeat: Operational (1206.1 ms)
80;2665,900;0x071e;1;[0x05];ERR_CTRL;30;-;-;Heartbeat: Operational (1419.7 ms)
81;2689,600;0x010a;8;[0x4c 0xf3 0x49 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
82;2739,400;0x010a;8;[0xcc 0xb5 0x4a 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
83;2790,200;0x010a;8;[0x46 0x7c 0x4b 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
84;2817,300;0x0100;8;[0xef 0xa8 0x03 0x00 0x00 0x00 0x00 0x00];TIME;-;-;-;TIME ms:10479 (1984-01-01T00:00:10.479000)
85;2840,100;0x010a;8;[0xfd 0x3e 0x4c 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
86;2860,500;0x0000;2;[0x81 0x22];NMT;34;-;-;NMT Reset
87;2890,800;0x010a;8;[0x4d 0x05 0x4d 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
88;2940,900;0x010a;8;[0xf0 0xc8 0x4d 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
89;2990,900;0x010a;8;[0x51 0x8c 0x4e 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
90;3039,900;0x0701;1;[0x05];ERR_CTRL;1;-;-;Heartbeat: Operational (1002.1 ms)
91;3041,500;0x010a;8;[0xbf 0x51 0x4f 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
92;3092,300;0x010a;8;[0x1a 0x18 0x50 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
93;3142,800;0x010a;8;[0x67 0xdd 0x50 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
94;3193,500;0x010a;8;[0xa1 0xa3 0x51 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
95;3243,800;0x010a;8;[0x1b 0x68 0x52 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
96;3260,300;0x0000;2;[0x81 0x23];NMT;35;-;-;NMT Reset
97;3294,500;0x010a;8;[0x00 0x2e 0x53 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
98;3299,400;0x018f;8;[0x00 0x00 0x00 0xf2 0xd8 0x84 0x00 0x00];PDO1_T;15;-;-;Transmit PDO1
99;3306,900;0x038f;2;[0x01 0x00];PDO3_T;15;-;-;Transmit PDO3
100;3319,400;0x028f;8;[0x00 0x00 0x70 0x08 0x00 0x38 0x00 0x00];PDO2_T;15;-;-;Transmit PDO2
101;3344,300;0x010a;8;[0xca 0xf0 0x53 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
102;3394,300;0x010a;8;[0xdc 0xb3 0x54 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
103;3444,700;0x010a;8;[0xec 0x78 0x55 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
104;3495,000;0x010a;8;[0x2c 0x3d 0x56 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
105;3545,500;0x010a;8;[0xa1 0x02 0x57 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
106;3595,500;0x010a;8;[0xf0 0xc5 0x57 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
107;3638,800;0x070f;1;[0x05];ERR_CTRL;15;-;-;Heartbeat: Operational (1400.1 ms)
108;3645,500;0x010a;8;[0x24 0x89 0x58 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
109;3660,500;0x0000;2;[0x81 0x24];NMT;36;-;-;NMT Reset
110;3696,000;0x010a;8;[0x8f 0x4e 0x59 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
111;3746,000;0x010a;8;[0x87 0x11 0x5a 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
112;3796,700;0x010a;8;[0xd6 0xd7 0x5a 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
113;3817,600;0x0100;8;[0xd7 0xac 0x03 0x00 0x00 0x00 0x00 0x00];TIME;-;-;-;TIME ms:11479 (1984-01-01T00:00:11.479000)
114;3840,900;0x070a;1;;ERR_CTRL;10;-;-;Node-Guarding Request (RTR)
115;3842,900;0x070a;1;[0x05];ERR_CTRL;10;-;-;Heartbeat: Operational (1199.0 ms)
116;3846,600;0x010a;8;[0x9a 0x9a 0x5b 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
117;3897,200;0x010a;8;[0x82 0x60 0x5c 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
118;3947,600;0x010a;8;[0x6d 0x25 0x5d 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
119;3998,300;0x010a;8;[0x19 0xeb 0x5d 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
120;4041,000;0x0701;1;[0x05];ERR_CTRL;1;-;-;Heartbeat: Operational (1001.1 ms)
121;4049,000;0x010a;8;[0x7d 0xb1 0x5e 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
122;4061,100;0x0000;2;[0x81 0x25];NMT;37;-;-;NMT Reset
123;4086,200;0x071e;1;[0x05];ERR_CTRL;30;-;-;Heartbeat: Operational (1420.3 ms)
124;4099,800;0x010a;8;[0xb5 0x77 0x5f 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
125;4150,300;0x010a;8;[0x2d 0x3d 0x60 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
126;4201,100;0x010a;8;[0x7d 0x03 0x61 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
127;4250,900;0x010a;8;[0x26 0xc6 0x61 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
128;4299,400;0x018f;8;[0x00 0x00 0x00 0xf2 0xd8 0x84 0x00 0x00];PDO1_T;15;-;-;Transmit PDO1
129;4300,700;0x010a;8;[0xa4 0x88 0x62 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
130;4307,400;0x028f;8;[0x00 0x00 0x70 0x08 0x00 0x38 0x00 0x00];PDO2_T;15;-;-;Transmit PDO2
131;4318,800;0x038f;2;[0x01 0x00];PDO3_T;15;-;-;Transmit PDO3
132;4350,800;0x010a;8;[0x5e 0x4c 0x63 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
133;4401,700;0x010a;8;[0x35 0x13 0x64 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
134;4452,400;0x010a;8;[0x1e 0xd9 0x64 0x0e 0x99 0x8c 0x00 0x00];NONE;10;-;-;
135;4461,500;0x0000;2;[0x81 0x26];NMT;38;-;-;NMT Reset
